name,latitude,longitude
234 Union Street-Aberdeen-AB10 1TL,57.1460202486865,-2.1027125079502276
George Street-Aberdeen-AB25 1HJ,57.149373,-2.0995095
Kimberley Way-Ashford-TN24 0SD,51.13702997,0.87860748
Festival Way-Basingstoke-RG21 7LG,51.2652891,-1.0868664
8 Southgate Place-Bath-BA1 1AP,51.37886701,-2.35799836
2 Stall Street-Bath-BA1 1QL,51.3814418,-2.3602462
212-214 High Street-Beckenham-BR3 1EN,51.4067062,-0.0285417
Pingle Drive-Bicester-OX26 6WD,51.89225558,-1.15653069
Moto Services-Cherwell Valley M40 Junction 10 Northampton Road-Bicester-OX27 7RD,51.95023983137285,-1.1985541846640826
Moor Street-Birmingham-B5 4BP,52.4780701,-1.8928407
1 Newhall Street-Birmingham-B3 3NH,52.48118617,-1.90112024
Brindley Place-Birmingham-B1 2JB,52.4778598,-1.9138424
22-24 Colmore Row-Birmingham-B3 2QD,52.48199879,-1.89790503
Comet Road-Birmingham-B26 3QJ,52.453158,-1.734342
Station Street-Birmingham-B2 4PX,52.4776198,-1.8993359
Lord Bhattacharyya Way-Birmingham-CV4 7AL,52.3783382,-1.5612244
52 New Street-Birmingham-B2 4EG,52.4794338,-1.8998463
Leicester Road-Birmingham-CV23 0EZ,52.41103858,-1.25086209
Station Street-Birmingham-B2 4PX,52.47722604,-1.89919102
Potter Street-Bishop's Stortford-CM23 3XH,51.8708488,0.1601852
14 Commercial Road-Bournemouth-BH2 5LP,50.72018185,-1.88095446
Unit 5K-Block 5 The Avenue-The Lexicon-Bracknell-RG12 1AP,51.416495,-0.750161
32 Charles street-the broadway Bradford-Bradford-BD1 1US,53.79451674587288,-1.7515428594426157
Unit L2-Charter Way-Braintree CM77 8YH Braintree-Braintree-CM77 8YH,51.8801,0.5509
42 High Street-Brentwood-CM14 4AJ,51.62020799,0.30248457
42 East Street-Brighton-BN1 1HL,50.82168829,-0.13900831
Queen's Road-Brighton-BN1 3XP,50.82951696,-0.14076875
77 North Street-Brighton-BN1 1ZA,50.82360382,-0.14401398
93-95 Broadmead-Bristol-BS1 3DT,51.45697705,-2.5906413
Cribbs Causeway-Bristol-BS34 5DG,51.525576,-2.595577
32 Victoria Street-Bristol-BS1 6BX,51.45280417,-2.58834124
A4044-Bristol-BS1 3BD,51.458887,-2.584915
29-30 Queens Road-Bristol-BS8 1QE,51.4558703,-2.605728
42 Baldwin Street-Bristol-BS1 1PN,51.45331169,-2.59393311
410-422 Gloucester Road-Bristol-BS7 8TX,51.48500533,-2.58637092
86 High Street-Bromley-BR1 1EY,51.4028644,0.0150561
Station Square-Cambridge-CB1 2GA,52.19501162,0.13686645
22 Market Street-Cambridge-CB2 3NZ,52.205819,0.1197258
10 Parade-Canterbury-CT1 2SG,51.2787598,1.0806776
Unit KLG08-3 Bridge St St Davids Centre-Cardiff-Cardiff-CF10 2EF,51.4776638445611,-3.17992101534399
13-14 High Street-Chelmsford-CM1 1BE,51.7337906,0.4737235
163 High Street-Cheltenham-GL50 1DF,51.9003811,-2.0734148
21-23 Northgate Street-Chester-CH1 2HA,53.19113446,-2.89180837
31-33 East Street-Chichester-PO19 1HL,50.8363712,-0.7763582
26 The Martletts-Crawley-RH10 1ES,51.1142803,-0.1867556
Perimeter Road East-Crawley-RH6 0NP,51.1555886,-0.1625586
93a George Street-Croydon-CR0 1LD,51.3746705,-0.094682
10 Green Lane-Dordon-B77 5PS,52.60746844,-1.64026873
116 Lothian Road-Edinburgh-EH3 9BE,55.9459618,-3.2058397
Eastfield Avenue-Edinburgh-EH12 9DN,55.94879058,-3.36381354
135 Princes Street-Edinburgh-EH2 4BL,55.95060478,-3.20629204
Princes Street-Edinburgh-EH1 1BB,55.951998,-3.1899862
30 North Bridge-Edinburgh-EH1 1QG,55.9508669,-3.1881406
25 Castle Street-Edinburgh-EH2 3DN,55.95208501,-3.20296392
51 Hanover Street-Edinburgh-EH2 2PJ,55.95318276,-3.19679578
Eastfield Avenue-Edinburgh-EH12 9DN,55.948009,-3.36201
Kinsey Road-Ellesmere Port-CH65 9JJ,53.26553535,-2.87905473
Great Cambridge Road-Enfield-EN1 1JD,51.6423749,-0.061412
93-95 High Street-Epsom-KT18 5DA,51.3331395,-0.267315
Stocker Road-Exeter-EX4 4SZ,50.73526294,-3.53368122
247-249 High Street-Exeter-EX4 3PZ,50.7250723,-3.5285448
30 Sandygate Roundabout-Exeter-EX2 7HF,50.71663334,-3.46365796
M3-Fleet-GU51 1AA,51.2954579,-0.8554744
M3-Fleet-GU51 1AA,51.29658056,-0.85563424
Pier Four Road North-Gatwick-RH6 0NP,51.15965019,-0.17801046
Departures Road-Gatwick-RH6 0NP,51.1560845,-0.1775294
Perimeter Road East-Gatwick-RH6 0NP,51.1555928,-0.1625842
Gatwick Airport - South Airside UNIT 3A-Gatwick-RH6 0NP,51.152069,-0.16198
Gatwick Airport - South Airside Pier3 UNIT 3B-Gatwick-RH6 0NP,51.152069,-0.16198
Gatwick Airport - North Terminal Landside Unit 2-Gatwick-RH6 0NP,51.160496,-0.17788
144-146 Queen Street-Glasgow-G1 3BS,55.8607073,-4.2513791
34 Sauchiehall Street-Glasgow-G2 3AH,55.8645271,-4.2543235
65-69 Bothwell Street-Glasgow-G2 6TS,55.8610979,-4.2612866
27 Gordon Street-Glasgow-G1 3PL,55.8603083,-4.2552977
268 Byres Road-Glasgow-G12 8SH,55.8755272,-4.2931142
27 Gordon Street-Glasgow-G1 3PL,55.86032411,-4.25534598
West Thurrock Way-Grays-RM20 2ZP,51.48705401,0.28360983
Bluewater Parkway-Greenhithe-DA9 9SH,51.43924614,0.27106373
26/28 Swan Lane-Guildford-GU1 4EQ,51.23582118,-0.57441875
4-6 James Street-Harrogate-HG1 1RF,53.99281891609246,-1.5384991386179254
68-70 St Anns Road-Harrow-HA1 1JX,51.5814026,-0.3391624
Swindon Road-Heathrow-TW6 3XA,51.4597978,-0.4462066
1-2 Bush walk 37 market place-Heathrow-RG40 1AT,51.4106045054391,-0.833392884442639
18/19 M62-Heywood-OL10 2QH,53.56822,-2.232
14-15 West Street-Horsham-RH12 1PB,51.062728,-0.330537
Cromer Road West-Hounslow-TW6 1QG,51.47157037,-0.45796032
Widgeon Road-Hounslow-TW6 2GA,51.47283306,-0.48723192
Contrail Way-Hounslow-TW6 1QG,51.4712258,-0.4533148
Wellington Road-Hounslow-TW6 2GA,51.47227624,-0.48812143
Cayley Road-Hounslow-TW6 1EW,51.4695758,-0.4496072
198 High Street-Hounslow-TW3 1HL,51.4688984,-0.362738
130 Eastern Avenue-Ilford-IG4 5AQ,51.57579448,0.04634264
85-87 Clarence Street-Kingston upon Thames-KT1 1RB,51.41094653,-0.30198153
1 Church Street-Kingston upon Thames-KT1 1JP,51.41008166,-0.3058201
32 M6-Lancaster-LA2 9DU,53.96192,-2.7604
New Station Street-Leeds-LS1 5DL,53.795404,-1.547506
42-44 Woodhouse Lane-Leeds-LS2 8LY,53.80200437,-1.54498797
Century Way-Leeds-LS15 8GH,53.80003444,-1.42395795
6 lands lane-Leeds-LS1 6AW,53.7974,-1.54382
10 Infirmary street-Leeds-LS1 2JP,53.79772,-1.54941
25-27 Gallowtree Gate-Leicester-LE1 5AD,52.63552593,-1.13272609
J17/18 M4 east Chippenham wiltshire-Leigh Delamere-SN14 6LB,51.51169,-2.1587
3 Derby Square-Liverpool-L2 9UJ,53.4054242,-2.9896093
4 Paradise Street-Liverpool-L1 8BQ,53.4035574,-2.986558
1 Old Hall Street-Liverpool-L3 9SX,53.4081801,-2.9930611
Broad Lane-London-N15 4QT,51.58692,-0.0635134
37 Shelton Street-London-WC2H 9HN,51.51468871,-0.12496523
14 Warren Street-London-W1T 5LL,51.5241459,-0.1389788
67 Tottenham Court Road-London-W1T 2EY,51.5202627,-0.1342397
Euston Road-London-N1C 4QP,51.531427,-0.126133
York Way-London-N1C 9AP,51.53154315,-0.12457351
